"state1","state2","season","jaccard"
"Kansas","Arizona","spring",0.129503002001334
"Kentucky","Arizona","spring",0.0947678083631015
"Louisiana","Arizona","spring",0.104380440167009
"Maine","Arizona","spring",0.0866742759309459
"Maryland","Arizona","spring",0.0969736222326896
"Massachusetts","Arizona","spring",0.090250028542071
"Michigan","Arizona","spring",0.102310231023102
"Minnesota","Arizona","spring",0.106864588930682
"Mississippi","Arizona","spring",0.0953498293515358
"Missouri","Arizona","spring",0.111845768374165
"Montana","Arizona","spring",0.132802354774478
"Nebraska","Arizona","spring",0.137820512820513
"Nevada","Arizona","spring",0.232099907493062
"New Hampshire","Arizona","spring",0.0836716283265674
"New Jersey","Arizona","spring",0.098983513077972
"New Mexico","Arizona","spring",0.390854033178267
"New York","Arizona","spring",0.0951004260499087
"North Carolina","Arizona","spring",0.0935543278084714
"North Dakota","Arizona","spring",0.0912938331318017
"Ohio","Arizona","spring",0.0993435194329867
"Oklahoma","Arizona","spring",0.148802570093458
"Oregon","Arizona","spring",0.14088326446281
"Pennsylvania","Arizona","spring",0.0976652601969058
"Rhode Island","Arizona","spring",0.0819058706136704
"South Carolina","Arizona","spring",0.0930540827147402
"South Dakota","Arizona","spring",0.121000471920717
"Tennessee","Arizona","spring",0.0990471414242728
"Texas","Arizona","spring",0.198994927672365
"Utah","Arizona","spring",0.244778761061947
"Vermont","Arizona","spring",0.0864970382337103
"Virginia","Arizona","spring",0.0981671679055779
"Washington","Arizona","spring",0.13134328358209
"West Virginia","Arizona","spring",0.085578103560338
"Wisconsin","Arizona","spring",0.103977532492979
"Wyoming","Arizona","spring",0.129959476015456
"Alabama","Arkansas","spring",0.438408896492729
"Alaska","Arkansas","spring",0.0485905044510386
"Arizona","Arkansas","spring",0.106235245104847
"California","Arkansas","spring",0.0811306901615272
"Colorado","Arkansas","spring",0.148739765612458
"Connecticut","Arkansas","spring",0.307187089510227
"Delaware","Arkansas","spring",0.347454567336623
"Florida","Arkansas","spring",0.251045751633987
"Georgia","Arkansas","spring",0.407269832846909
"Hawaii","Arkansas","spring",0.0467174119885823
"Idaho","Arkansas","spring",0.102144745862305
"Illinois","Arkansas","spring",0.431555596635549
"Indiana","Arkansas","spring",0.385145784081954
"Iowa","Arkansas","spring",0.316179879462216
"Kansas","Arkansas","spring",0.382708585247884
"Kentucky","Arkansas","spring",0.469724970105446
"Louisiana","Arkansas","spring",0.429358186824825
"Maine","Arkansas","spring",0.220517113095238
"Maryland","Arkansas","spring",0.384596044250754
"Massachusetts","Arkansas","spring",0.27669647553919
"Michigan","Arkansas","spring",0.30237220180421
"Minnesota","Arkansas","spring",0.26912206323971
"Mississippi","Arkansas","spring",0.449994546842622
"Missouri","Arkansas","spring",0.521619841966637
"Montana","Arkansas","spring",0.101244230383303
"Nebraska","Arkansas","spring",0.284424379232506
"Nevada","Arkansas","spring",0.0800732318365774
"New Hampshire","Arkansas","spring",0.242301867743564
"New Jersey","Arkansas","spring",0.353639514731369
"New Mexico","Arkansas","spring",0.127102650365143
"New York","Arkansas","spring",0.284094654274603
"North Carolina","Arkansas","spring",0.374227259346482
"North Dakota","Arkansas","spring",0.123856167031834
"Ohio","Arkansas","spring",0.370476035213564
"Oklahoma","Arkansas","spring",0.463372717508056
"Oregon","Arkansas","spring",0.106134925712661
"Pennsylvania","Arkansas","spring",0.3317771314863
"Rhode Island","Arkansas","spring",0.267558139534884
"South Carolina","Arkansas","spring",0.404629358335775
"South Dakota","Arkansas","spring",0.176605228285749
"Tennessee","Arkansas","spring",0.472829720179544
"Texas","Arkansas","spring",0.292154049878614
"Utah","Arkansas","spring",0.105910646563685
"Vermont","Arkansas","spring",0.244765791341377
"Virginia","Arkansas","spring",0.39281098546042
"Washington","Arkansas","spring",0.105767199492993
"West Virginia","Arkansas","spring",0.351673640167364
"Wisconsin","Arkansas","spring",0.299455375966268
"Wyoming","Arkansas","spring",0.0802536628034113
"Alabama","California","spring",0.0865225238498656
"Alaska","California","spring",0.102122381477398
"Arizona","California","spring",0.182731255683227
"Arkansas","California","spring",0.0811306901615272
"Colorado","California","spring",0.166501015513591
"Connecticut","California","spring",0.0892608660063845
"Delaware","California","spring",0.0705671374131361
"Florida","California","spring",0.0822281167108753
"Georgia","California","spring",0.0880070009892702
"Hawaii","California","spring",0.0419709634843819
"Idaho","California","spring",0.157103494948518
"Illinois","California","spring",0.104182181632893
"Indiana","California","spring",0.096735832034774
"Iowa","California","spring",0.0755223479933784
"Kansas","California","spring",0.0787672764682202
"Kentucky","California","spring",0.080046164626355
"Louisiana","California","spring",0.077768629065459
"Maine","California","spring",0.0952845804507449
"Maryland","California","spring",0.101746708416645
"Massachusetts","California","spring",0.107164179104478
"Michigan","California","spring",0.114681069147678
"Minnesota","California","spring",0.106828689497156
"Mississippi","California","spring",0.0723189961198712
"Missouri","California","spring",0.0870081480571592
"Montana","California","spring",0.123575227963526
"Nebraska","California","spring",0.0858754512635379
"Nevada","California","spring",0.18014324524574
"New Hampshire","California","spring",0.0828097239675868
"New Jersey","California","spring",0.106749041995777
"New Mexico","California","spring",0.144323645341534
"New York","California","spring",0.127453729669097
"North Carolina","California","spring",0.104240033807579
"North Dakota","California","spring",0.0519512434876634
"Ohio","California","spring",0.109247489752172
"Oklahoma","California","spring",0.0906716417910448
"Oregon","California","spring",0.301880704342214
"Pennsylvania","California","spring",0.115420266211857
"Rhode Island","California","spring",0.0709290709290709
"South Carolina","California","spring",0.0801803959131545
"South Dakota","California","spring",0.0709855929777693
"Tennessee","California","spring",0.091286790401491
"Texas","California","spring",0.133536374768439
"Utah","California","spring",0.161669024045262
"Vermont","California","spring",0.0921504497138185
"Virginia","California","spring",0.105994530268313
"Washington","California","spring",0.265762953714439
"West Virginia","California","spring",0.0811096098631988
"Wisconsin","California","spring",0.105140374869278
"Wyoming","California","spring",0.090263348634936
"Alabama","Colorado","spring",0.119347952648942
"Alaska","Colorado","spring",0.12717370533155
"Arizona","Colorado","spring",0.237639433222792
"Arkansas","Colorado","spring",0.148739765612458
"California","Colorado","spring",0.166501015513591
"Connecticut","Colorado","spring",0.168828011022856
"Delaware","Colorado","spring",0.146037661828168
"Florida","Colorado","spring",0.0870528297707387
"Georgia","Colorado","spring",0.122740963855422
"Hawaii","Colorado","spring",0.0329018338727077
"Idaho","Colorado","spring",0.299723298284449
"Illinois","Colorado","spring",0.202544031311155
"Indiana","Colorado","spring",0.175838383838384
"Iowa","Colorado","spring",0.199493670886076
"Kansas","Colorado","spring",0.217355793772333
"Kentucky","Colorado","spring",0.148749487494875
"Louisiana","Colorado","spring",0.118442098528471
"Maine","Colorado","spring",0.183343475615057
"Maryland","Colorado","spring",0.160220994475138
"Massachusetts","Colorado","spring",0.174517841542907
"Michigan","Colorado","spring",0.213568787261339
"Minnesota","Colorado","spring",0.239199332777314
"Mississippi","Colorado","spring",0.1136785973984
"Missouri","Colorado","spring",0.181301950456753
"Montana","Colorado","spring",0.319521178637201
"Nebraska","Colorado","spring",0.275276673471581
"Nevada","Colorado","spring",0.229039714225678
"New Hampshire","Colorado","spring",0.173976876491099
"New Jersey","Colorado","spring",0.16519600752206
"New Mexico","Colorado","spring",0.350902184235518
"New York","Colorado","spring",0.175397292525015
"North Carolina","Colorado","spring",0.137008247789711
"North Dakota","Colorado","spring",0.186421025508889
"Ohio","Colorado","spring",0.179011925042589
"Oklahoma","Colorado","spring",0.214962121212121
"Oregon","Colorado","spring",0.23084592376716
"Pennsylvania","Colorado","spring",0.173191684700636
"Rhode Island","Colorado","spring",0.150737522731865
"South Carolina","Colorado","spring",0.118961625282167
"South Dakota","Colorado","spring",0.247688564476886
"Tennessee","Colorado","spring",0.150802835237957
"Texas","Colorado","spring",0.165447986740762
"Utah","Colorado","spring",0.365481676541584
"Vermont","Colorado","spring",0.188021600392734
"Virginia","Colorado","spring",0.153525891230809
"Washington","Colorado","spring",0.236124895030155
"West Virginia","Colorado","spring",0.153435968005504
"Wisconsin","Colorado","spring",0.220412074748443
"Wyoming","Colorado","spring",0.310044219835755
"Alabama","Connecticut","spring",0.303427031189834
"Alaska","Connecticut","spring",0.0927361469997129
"Arizona","Connecticut","spring",0.089143865842895
"Arkansas","Connecticut","spring",0.307187089510227
"California","Connecticut","spring",0.0892608660063845
"Colorado","Connecticut","spring",0.168828011022856
"Delaware","Connecticut","spring",0.385878891885266
"Florida","Connecticut","spring",0.177647274729308
"Georgia","Connecticut","spring",0.32511785625672
"Hawaii","Connecticut","spring",0.0348328210859644
"Idaho","Connecticut","spring",0.133679169992019
"Illinois","Connecticut","spring",0.413886874546773
"Indiana","Connecticut","spring",0.410991636798088
"Iowa","Connecticut","spring",0.324630314232902
"Kansas","Connecticut","spring",0.271055818562149
"Kentucky","Connecticut","spring",0.388832280415733
"Louisiana","Connecticut","spring",0.247913418325232
"Maine","Connecticut","spring",0.441032342371774
"Maryland","Connecticut","spring",0.476998223801066
"Massachusetts","Connecticut","spring",0.531482310792656
"Michigan","Connecticut","spring",0.454966641957005
"Minnesota","Connecticut","spring",0.37450161382191
"Mississippi","Connecticut","spring",0.255267347129881
"Missouri","Connecticut","spring",0.370098039215686
"Montana","Connecticut","spring",0.133667416649622
"Nebraska","Connecticut","spring",0.271017699115044
"Nevada","Connecticut","spring",0.0769743101807802
"New Hampshire","Connecticut","spring",0.474815870753148
"New Jersey","Connecticut","spring",0.497477391718229
"New Mexico","Connecticut","spring",0.108921992631748
"New York","Connecticut","spring",0.462560656961553
"North Carolina","Connecticut","spring",0.377961998386032
"North Dakota","Connecticut","spring",0.136275897567881
"Ohio","Connecticut","spring",0.457999483070561
"Oklahoma","Connecticut","spring",0.264175257731959
"Oregon","Connecticut","spring",0.140465793304221
"Pennsylvania","Connecticut","spring",0.490044247787611
"Rhode Island","Connecticut","spring",0.447102115915363
"South Carolina","Connecticut","spring",0.311611910580143
"South Dakota","Connecticut","spring",0.178780284043442
"Tennessee","Connecticut","spring",0.382342470630118
"Texas","Connecticut","spring",0.181352613345383
"Utah","Connecticut","spring",0.118154017236586
"Vermont","Connecticut","spring",0.47918410041841
"Virginia","Connecticut","spring",0.434606481481481
"Washington","Connecticut","spring",0.157189901207464
"West Virginia","Connecticut","spring",0.451548229004233
"Wisconsin","Connecticut","spring",0.432705248990579
"Wyoming","Connecticut","spring",0.0950345281157514
"Alabama","Delaware","spring",0.305696144290052
"Alaska","Delaware","spring",0.0660609037328094
"Arizona","Delaware","spring",0.0904769709883626
"Arkansas","Delaware","spring",0.347454567336623
"California","Delaware","spring",0.0705671374131361
"Colorado","Delaware","spring",0.146037661828168
"Connecticut","Delaware","spring",0.385878891885266
"Florida","Delaware","spring",0.191988451822447
"Georgia","Delaware","spring",0.343241330502477
"Hawaii","Delaware","spring",0.0449157829070493
"Idaho","Delaware","spring",0.123730138056786
"Illinois","Delaware","spring",0.3446941975954
"Indiana","Delaware","spring",0.372704357220022
"Iowa","Delaware","spring",0.330995578594298
"Kansas","Delaware","spring",0.331066787549109
"Kentucky","Delaware","spring",0.402420185375901
"Louisiana","Delaware","spring",0.301640522093162
"Maine","Delaware","spring",0.294327990135635
"Maryland","Delaware","spring",0.403535353535354
"Massachusetts","Delaware","spring",0.315172603241461
"Michigan","Delaware","spring",0.303246557442959
"Minnesota","Delaware","spring",0.259302949061662
"Mississippi","Delaware","spring",0.327485380116959
"Missouri","Delaware","spring",0.371278672523182
"Montana","Delaware","spring",0.118269488347174
"Nebraska","Delaware","spring",0.291531425199174
"Nevada","Delaware","spring",0.0854938661945112
"New Hampshire","Delaware","spring",0.335402869757174
"New Jersey","Delaware","spring",0.416040100250627
"New Mexico","Delaware","spring",0.115125966074476
"New York","Delaware","spring",0.2914719178607
"North Carolina","Delaware","spring",0.320197449609214
"North Dakota","Delaware","spring",0.157235093049753
"Ohio","Delaware","spring",0.330114382148884
"Oklahoma","Delaware","spring",0.30447159293085
"Oregon","Delaware","spring",0.112793598898735
"Pennsylvania","Delaware","spring",0.328806547351381
"Rhode Island","Delaware","spring",0.419139084205111
"South Carolina","Delaware","spring",0.368090306063075
"South Dakota","Delaware","spring",0.198757763975155
"Tennessee","Delaware","spring",0.365489275424181
"Texas","Delaware","spring",0.171700664938578
"Utah","Delaware","spring",0.118570914758422
"Vermont","Delaware","spring",0.29558105191412
"Virginia","Delaware","spring",0.370814967645128
"Washington","Delaware","spring",0.11645180568599
"West Virginia","Delaware","spring",0.38966122283709
"Wisconsin","Delaware","spring",0.291750716636586
"Wyoming","Delaware","spring",0.0947781466948385
"Alabama","Florida","spring",0.362259970457903
"Alaska","Florida","spring",0.0327329192546584
"Arizona","Florida","spring",0.0871745024811992
"Arkansas","Florida","spring",0.251045751633987
"California","Florida","spring",0.0822281167108753
"Colorado","Florida","spring",0.0870528297707387
"Connecticut","Florida","spring",0.177647274729308
"Delaware","Florida","spring",0.191988451822447
"Georgia","Florida","spring",0.358697043389223
"Hawaii","Florida","spring",0.0820128621626997
"Idaho","Florida","spring",0.0544633199720048
"Illinois","Florida","spring",0.203064469499855
"Indiana","Florida","spring",0.186616053388845
"Iowa","Florida","spring",0.137371257076598
"Kansas","Florida","spring",0.164928382700598
"Kentucky","Florida","spring",0.211822976971568
"Louisiana","Florida","spring",0.345754953150705
"Maine","Florida","spring",0.126710654936461
"Maryland","Florida","spring",0.246077480458721
"Massachusetts","Florida","spring",0.183950748328203
"Michigan","Florida","spring",0.161141651396524
"Minnesota","Florida","spring",0.130779392338177
"Mississippi","Florida","spring",0.336348625170508
"Missouri","Florida","spring",0.218109086291193
"Montana","Florida","spring",0.0503448720428028
"Nebraska","Florida","spring",0.130908844643099
"Nevada","Florida","spring",0.0509983466870151
"New Hampshire","Florida","spring",0.131048645873444
"New Jersey","Florida","spring",0.234014968471919
"New Mexico","Florida","spring",0.0811960962324104
"New York","Florida","spring",0.191562965454283
"North Carolina","Florida","spring",0.313191023535851
"North Dakota","Florida","spring",0.0562786848243172
"Ohio","Florida","spring",0.198137721957557
"Oklahoma","Florida","spring",0.223154904113127
"Oregon","Florida","spring",0.0694565384418378
"Pennsylvania","Florida","spring",0.192650918635171
"Rhode Island","Florida","spring",0.150109905693824
"South Carolina","Florida","spring",0.359064569536424
"South Dakota","Florida","spring",0.0784958535887904
"Tennessee","Florida","spring",0.242050422180969
"Texas","Florida","spring",0.287833295989245
"Utah","Florida","spring",0.0601411475912857
"Vermont","Florida","spring",0.132307332202001
"Virginia","Florida","spring",0.25960250111657
"Washington","Florida","spring",0.0694409116345322
"West Virginia","Florida","spring",0.168545803971813
"Wisconsin","Florida","spring",0.150045745654163
"Wyoming","Florida","spring",0.0381830601092896
"Alabama","Georgia","spring",0.535244437225922
"Alaska","Georgia","spring",0.0498354489891866
"Arizona","Georgia","spring",0.0954957145462282
"Arkansas","Georgia","spring",0.407269832846909
"California","Georgia","spring",0.0880070009892702
"Colorado","Georgia","spring",0.122740963855422
"Connecticut","Georgia","spring",0.32511785625672
"Delaware","Georgia","spring",0.343241330502477
"Florida","Georgia","spring",0.358697043389223
"Hawaii","Georgia","spring",0.0543653350515464
"Idaho","Georgia","spring",0.0840848159883012
"Illinois","Georgia","spring",0.353507353507354
"Indiana","Georgia","spring",0.344991256557582
"Iowa","Georgia","spring",0.241665897128082
"Kansas","Georgia","spring",0.261072261072261
"Kentucky","Georgia","spring",0.414205472005798
"Louisiana","Georgia","spring",0.424810311728677
"Maine","Georgia","spring",0.230128567963128
"Maryland","Georgia","spring",0.424929178470255
"Massachusetts","Georgia","spring",0.308304189810053
"Michigan","Georgia","spring",0.290374370575786
"Minnesota","Georgia","spring",0.232237777944149
"Mississippi","Georgia","spring",0.455121535987894
"Missouri","Georgia","spring",0.380548585272995
"Montana","Georgia","spring",0.0801984291029351
"Nebraska","Georgia","spring",0.209156193895871
"Nevada","Georgia","spring",0.0652835629605896
"New Hampshire","Georgia","spring",0.249891464791178
"New Jersey","Georgia","spring",0.387683146595628
"New Mexico","Georgia","spring",0.0994858969014867
"New York","Georgia","spring",0.313702801461632
"North Carolina","Georgia","spring",0.505656272661349
"North Dakota","Georgia","spring",0.0880724710619024
"Ohio","Georgia","spring",0.363066051341217
"Oklahoma","Georgia","spring",0.322838622779695
"Oregon","Georgia","spring",0.101541534044811
"Pennsylvania","Georgia","spring",0.352790116601888
"Rhode Island","Georgia","spring",0.26126213592233
"South Carolina","Georgia","spring",0.54131187423973
"South Dakota","Georgia","spring",0.121971990915973
"Tennessee","Georgia","spring",0.474198164828689
"Texas","Georgia","spring",0.281408549756367
"Utah","Georgia","spring",0.0866470679251122
"Vermont","Georgia","spring",0.251144741948002
"Virginia","Georgia","spring",0.459094339622642
"Washington","Georgia","spring",0.1037841191067
"West Virginia","Georgia","spring",0.349878608038845
"Wisconsin","Georgia","spring",0.272364157057804
"Wyoming","Georgia","spring",0.0577942735949099
"Alabama","Hawaii","spring",0.0536063845806354
"Alaska","Hawaii","spring",0.0238870792616721
"Arizona","Hawaii","spring",0.0436201544217146
"Arkansas","Hawaii","spring",0.0467174119885823
"California","Hawaii","spring",0.0419709634843819
"Colorado","Hawaii","spring",0.0329018338727077
"Connecticut","Hawaii","spring",0.0348328210859644
"Delaware","Hawaii","spring",0.0449157829070493
"Florida","Hawaii","spring",0.0820128621626997
"Georgia","Hawaii","spring",0.0543653350515464
"Idaho","Hawaii","spring",0.0337092424613876
"Illinois","Hawaii","spring",0.0375982961992136
"Indiana","Hawaii","spring",0.0368013281682346
"Iowa","Hawaii","spring",0.033418089357065
"Kansas","Hawaii","spring",0.0397103198551599
"Kentucky","Hawaii","spring",0.0405563120015561
"Louisiana","Hawaii","spring",0.0671798460461861
"Maine","Hawaii","spring",0.0296851574212894
"Maryland","Hawaii","spring",0.0382720727548314
"Massachusetts","Hawaii","spring",0.0326530612244898
"Michigan","Hawaii","spring",0.0317498788172564
"Minnesota","Hawaii","spring",0.0285001781261133
"Mississippi","Hawaii","spring",0.0576592951630819
"Missouri","Hawaii","spring",0.0395331325301205
"Montana","Hawaii","spring",0.0264350453172205
"Nebraska","Hawaii","spring",0.0365750272496064
"Nevada","Hawaii","spring",0.0392764217569074
"New Hampshire","Hawaii","spring",0.0309816284378737
"New Jersey","Hawaii","spring",0.040565807657914
"New Mexico","Hawaii","spring",0.0378434914899686
"New York","Hawaii","spring",0.0342044819666025
"North Carolina","Hawaii","spring",0.0439936775553214
"North Dakota","Hawaii","spring",0.0266272189349112
"Ohio","Hawaii","spring",0.0343756930583278
"Oklahoma","Hawaii","spring",0.0427606177606178
"Oregon","Hawaii","spring",0.0383079305566876
"Pennsylvania","Hawaii","spring",0.0352172678216416
"Rhode Island","Hawaii","spring",0.0396294390118374
"South Carolina","Hawaii","spring",0.0581182500457624
"South Dakota","Hawaii","spring",0.033784789403185
"Tennessee","Hawaii","spring",0.0407168814007268
"Texas","Hawaii","spring",0.0527983644262714
"Utah","Hawaii","spring",0.0368898978433598
"Vermont","Hawaii","spring",0.0288179148311307
"Virginia","Hawaii","spring",0.0410741355663033
"Washington","Hawaii","spring",0.0353640893746986
"West Virginia","Hawaii","spring",0.0346205059920107
"Wisconsin","Hawaii","spring",0.0313576843556168
"Wyoming","Hawaii","spring",0.0240824024372552
"Alabama","Idaho","spring",0.0774408228087423
"Alaska","Idaho","spring",0.163316917343272
"Arizona","Idaho","spring",0.154457498272287
"Arkansas","Idaho","spring",0.102144745862305
"California","Idaho","spring",0.157103494948518
"Colorado","Idaho","spring",0.299723298284449
"Connecticut","Idaho","spring",0.133679169992019
"Delaware","Idaho","spring",0.123730138056786
"Florida","Idaho","spring",0.0544633199720048
"Georgia","Idaho","spring",0.0840848159883012
"Hawaii","Idaho","spring",0.0337092424613876
"Illinois","Idaho","spring",0.136423608056997
"Indiana","Idaho","spring",0.136219849742981
"Iowa","Idaho","spring",0.157686734290607
"Kansas","Idaho","spring",0.144867656552615
"Kentucky","Idaho","spring",0.117551020408163
"Louisiana","Idaho","spring",0.0761201378631216
"Maine","Idaho","spring",0.163854890285588
"Maryland","Idaho","spring",0.11508031647087
"Massachusetts","Idaho","spring",0.126200702850449
"Michigan","Idaho","spring",0.165354330708661
"Minnesota","Idaho","spring",0.179746076177147
"Mississippi","Idaho","spring",0.0793922318373918
"Missouri","Idaho","spring",0.123073864201213
"Montana","Idaho","spring",0.429275756545393
"Nebraska","Idaho","spring",0.190006752194463
"Nevada","Idaho","spring",0.284525048312769
"New Hampshire","Idaho","spring",0.159442724458204
"New Jersey","Idaho","spring",0.12370867768595
"New Mexico","Idaho","spring",0.199441520781871
"New York","Idaho","spring",0.125807095786461
"North Carolina","Idaho","spring",0.0934953829440521
"North Dakota","Idaho","spring",0.191786129407207
"Ohio","Idaho","spring",0.128138116733983
"Oklahoma","Idaho","spring",0.116767676767677
"Oregon","Idaho","spring",0.341317365269461
"Pennsylvania","Idaho","spring",0.12824218452879
"Rhode Island","Idaho","spring",0.141819676623733
"South Carolina","Idaho","spring",0.0827605169095408
"South Dakota","Idaho","spring",0.227660300136426
"Tennessee","Idaho","spring",0.10819898267092
"Texas","Idaho","spring",0.0764584408879711
"Utah","Idaho","spring",0.363345919256462
"Vermont","Idaho","spring",0.15333534560821
"Virginia","Idaho","spring",0.107045866022933
"Washington","Idaho","spring",0.340032646398694
"West Virginia","Idaho","spring",0.130596200043678
"Wisconsin","Idaho","spring",0.164396609200876
"Wyoming","Idaho","spring",0.360372093023256
"Alabama","Illinois","spring",0.358697250404352
"Alaska","Illinois","spring",0.0780224345658496
"Arizona","Illinois","spring",0.110634269485642
"Arkansas","Illinois","spring",0.431555596635549
"California","Illinois","spring",0.104182181632893
"Colorado","Illinois","spring",0.202544031311155
"Connecticut","Illinois","spring",0.413886874546773
"Delaware","Illinois","spring",0.3446941975954
"Florida","Illinois","spring",0.203064469499855
"Georgia","Illinois","spring",0.353507353507354
"Hawaii","Illinois","spring",0.0375982961992136
"Idaho","Illinois","spring",0.136423608056997
"Indiana","Illinois","spring",0.523292978208232
"Iowa","Illinois","spring",0.408240510435817
"Kansas","Illinois","spring",0.373270440251572
"Kentucky","Illinois","spring",0.481994730164926
"Louisiana","Illinois","spring",0.307745385544247
"Maine","Illinois","spring",0.315864400747397
"Maryland","Illinois","spring",0.473228027541515
"Massachusetts","Illinois","spring",0.41079936474325
"Michigan","Illinois","spring",0.480864939076712
"Minnesota","Illinois","spring",0.4323358642251
"Mississippi","Illinois","spring",0.31873071837814
"Missouri","Illinois","spring",0.525788387857353
"Montana","Illinois","spring",0.138828828828829
"Nebraska","Illinois","spring",0.335448868870918
"Nevada","Illinois","spring",0.0861312637084528
"New Hampshire","Illinois","spring",0.330951700485853
"New Jersey","Illinois","spring",0.439623584277149
"New Mexico","Illinois","spring",0.135170990566038
